Date,artistid,venueid,concertid
2015-05-27,525,10,1
2015-05-28,523,10,2
2015-05-29,290,34,3
2015-05-30,515,4,4
2015-06-04,514,10,5
2015-06-08,513,42,6
2015-06-14,511,4,7
2015-06-17,509,4,8
2015-06-20,508,87,9
2015-06-21,506,34,10
2015-06-26,504,85,11
2015-07-02,36,84,12
2015-07-03,500,10,13
2015-07-04,500,10,14
2015-07-07,499,24,15
2015-07-15,497,37,16
2015-07-16,493,22,17
2015-07-17,490,30,18
2015-07-18,490,30,19
2015-07-20,489,42,20
2015-07-30,488,81,21
2015-08-23,487,80,22
2015-08-24,487,80,23
2015-08-25,487,80,24
2015-08-26,487,80,25
2015-08-27,487,80,26
2015-08-28,487,80,27
2015-08-29,487,80,28
2015-08-30,487,80,29
2015-09-10,486,10,30
2015-09-21,485,10,31
2015-09-23,484,26,32
2015-09-24,318,49,33
2015-09-25,482,42,34
2015-10-01,478,26,35
2015-10-04,477,13,36
2015-10-11,476,4,37
2015-10-15,475,42,38
2015-10-17,232,1,39
2015-10-21,474,79,40
2015-10-24,286,37,41
2015-10-30,472,37,42
2015-10-31,469,78,43
2015-11-01,468,33,44
2015-11-03,465,10,45
2015-11-06,462,4,46
2015-11-08,459,68,47
2015-11-12,458,10,48
2015-11-13,456,37,49
2015-11-14,135,11,50
2015-11-15,453,37,51
2015-11-21,452,6,52
2015-11-23,451,1,53
2015-11-24,450,1,54
2015-11-25,449,1,55
2015-11-27,8,18,56
2015-11-28,434,37,57
2015-12-01,432,76,58
2015-12-02,431,42,59
2015-12-05,428,4,60
2015-12-11,427,42,61
2015-12-12,423,74,62
2015-12-13,417,73,63
2015-12-18,415,4,64
2015-12-19,414,14,65
2015-12-20,290,71,66
2015-12-25,409,6,67
2015-12-26,409,6,68
2016-01-08,408,42,69
2016-01-16,407,19,70
2016-01-20,406,17,71
2016-01-25,405,22,72
2016-02-05,404,11,73
2016-02-06,403,6,74
2016-02-08,402,19,75
2016-02-13,401,10,76
2016-02-17,163,68,77
2016-02-18,163,68,78
2016-02-19,163,68,79
2016-02-20,163,68,80
2016-02-21,163,68,81
2016-02-28,400,37,82
2016-03-02,398,10,83
2016-03-04,395,69,84
2016-03-05,124,4,85
2016-03-06,392,37,86
2016-03-12,391,11,87
2016-03-15,390,14,88
2016-03-16,163,68,89
2016-03-17,163,68,90
2016-03-18,163,68,91
2016-03-19,388,67,92
2016-03-28,387,11,93
2016-03-30,383,4,94
2016-04-02,382,10,95
2016-04-08,381,42,96
2016-04-09,379,65,97
2016-04-10,378,42,98
2016-04-12,202,14,99
2016-04-16,374,4,100
2016-04-18,372,4,101
2016-04-21,371,11,102
2016-04-22,370,3,103
2016-04-23,370,3,104
2016-04-24,369,14,105
2016-04-27,312,64,106
2016-04-28,312,64,107
2016-04-29,367,63,108
2016-04-30,367,63,109
2016-05-02,366,62,110
2016-05-03,365,62,111
2016-05-06,364,61,112
2016-05-07,361,60,113
2016-05-08,177,58,114
2016-05-09,36,57,115
2016-05-12,358,56,116
2016-05-16,292,55,117
2016-05-19,357,54,118
2016-05-21,356,4,119
2016-05-22,356,4,120
2016-05-25,353,3,121
2016-05-30,351,53,122
2016-05-31,350,6,123
2016-06-01,349,10,124
2016-06-07,348,24,125
2016-06-11,328,19,126
2016-06-12,346,19,127
2016-06-15,343,52,128
2016-06-17,342,51,129
2016-06-19,339,29,130
2016-06-22,338,10,131
2016-06-25,337,10,132
2016-06-28,335,24,133
2016-07-01,332,50,134
2016-07-03,331,3,135
2016-07-06,330,4,136
2016-07-11,328,49,137
2016-07-13,327,10,138
2016-07-14,324,22,139
2016-07-15,322,4,140
2016-07-16,319,49,141
2016-07-17,270,3,142
2016-07-22,318,18,143
2016-07-23,317,13,144
2016-07-27,316,4,145
2016-08-11,315,48,146
2016-09-01,313,19,147
2016-09-06,312,10,148
2016-09-07,312,10,149
2016-09-08,310,10,150
2016-09-11,308,10,151
2016-09-14,307,6,152
2016-09-16,246,3,153
2016-09-18,305,47,154
2016-09-23,304,46,155
2016-09-27,163,10,156
2016-09-28,163,10,157
2016-09-29,303,10,158
2016-09-30,163,10,159
2016-10-01,163,10,160
2016-10-02,163,10,161
2016-10-04,301,6,162
2016-10-07,299,13,163
2016-10-08,298,10,164
2016-10-11,297,45,165
2016-10-13,296,3,166
